Hackathon_Name,Website,Tools,Link,
Brainwaves_ML,Hacker_Earth,"Machine Learning,R,Python",https://www.hackerearth.com/challenge/competitive/brainwaves-machine-learning/,Hiring
Brainwaves_Full_Stack,Hacker_Earth,"Javascript,HTML,",https://www.hackerearth.com/challenge/competitive/brainwaves-full-stack/,Hiring
Brainwaves_Cyber_Security,Hacker_Earth,Cyber Security,https://www.hackerearth.com/challenge/competitive/brainwaves-cyber-security/,Hiring
Code Arena,Hacker_Earth,"C++,Java,Python",https://www.hackerearth.com/codearena/,
Accenture,Hacker_Earth,"Machine Learning,R,Python",https://www.hackerearth.com/sprints/accenture-imagesing/,
Iot InterThon,Hacker_Earth,IOT,https://www.hackerearth.com/sprints/unlimit-iot-hackathon/,
Nec-hackathon,Hacker_Earth,All,https://www.hackerearth.com/sprints/nec-hackathon/,
Genesis Hack,Hacker_Earth,"Cyber Security,Block Chain",https://genesis-hack.hackerearth.com/,
SmartQ,Hacker_Earth,Javascript,https://www.hackerearth.com/challenge/hiring/SmartQ-NodeJS-Hiring-challenge/,Hiring
Vocera Hiring,Hacker_Earth,Full Stack,https://www.hackerearth.com/challenge/hiring/vocera-hiring-challenge-2018/,Hiring
Utopous Insights,Hacker_Earth,"Javascript,HTML",https://www.hackerearth.com/challenge/hiring/utopus-insights-front-end-2018/,Hiring
Utopous Insights,Hacker_Earth,"Java,Python",https://www.hackerearth.com/challenge/hiring/utopus-back-end-hiring-2018/,Hiring
January Circuits,Hacker_Earth,"C++,Java,Python",https://www.hackerearth.com/challenge/competitive/january-circuits-19/,
February Easy,Hacker_Earth,"C++,Java,Python",https://www.hackerearth.com/challenge/competitive/february-easy-19/,
Upgrad,Hacker_Earth,"Java,Python",https://www.hackerearth.com/challenge/hiring/upGrad-backend-hiring-challenge/,Hiring
Sweeten ,Hacker_Earth,"Javascript,HTML",https://www.hackerearth.com/challenge/hiring/sweeten-frontend-challenge/,Hiring
Lenskart,Hacker_Earth,Java,https://www.hackerearth.com/challenge/hiring/Lenskart-SDE2-Hiring-Challenge/,Hiring
Adessa,Hacker_Earth,"Javascript,HTML",https://www.hackerearth.com/challenge/hiring/adessa-backend-hiring-challenge/,Hiring
Gieome,Hacker_Earth,"Javascript,HTML",https://www.hackerearth.com/challenge/hiring/gieom-ui-developer-hiring-challenge-2019/,Hiring
NinjaCart,Hacker_Earth,"Java,Javascript,HTML",https://www.hackerearth.com/challenge/hiring/ninjacart-hiring-codestorm-2019/,
FinTech,Hacker_Earth,Full Stack,https://www.hackerearth.com/challenge/hiring/finflux-full-stack-hiring-challenge/,
Hexware Tech,Techgig,Java,https://www.techgig.com/challenge/javaangular,Hiring
Capillary,Analytic Vidya,"Machine Learning,R,Python",https://datahack.analyticsvidhya.com/contest/capillary-machine-learning-hackathon/,
Intel,Analytic Vidya,"Machine Learning,R,Python",https://datahack.analyticsvidhya.com/contest/practice-problem-intel-scene-classification-challe/,
Google Analytics,Kaggle,"Machine Learning,R,Python",https://www.kaggle.com/c/ga-customer-revenue-prediction,
PUBG,Kaggle,"Machine Learning,R,Python",https://www.kaggle.com/c/pubg-finish-placement-prediction,
